Frequency (Hz),dB (Relative)
449,-1.71620
450,-1.71000
451,-1.70380
452,-1.69760
453,-1.69140
454,-1.68520
455,-1.67900
456,-1.67280
457,-1.66660
458,-1.66040
459,-1.65420
460,-1.64800
461,-1.64180
462,-1.63560
463,-1.62940
464,-1.62320
465,-1.61700
466,-1.61080
467,-1.60460
468,-1.59840
469,-1.59220
470,-1.58600
471,-1.57980
472,-1.57360
473,-1.56740
474,-1.56120
475,-1.55500
476,-1.54880
477,-1.54260
478,-1.53640
479,-1.53020
480,-1.52400
481,-1.51780
482,-1.51160
483,-1.50540
484,-1.49920
485,-1.49300
486,-1.48680
487,-1.48060
488,-1.47440
489,-1.46820
490,-1.46200
491,-1.45580
492,-1.44960
493,-1.44340
494,-1.43720
495,-1.43100
496,-1.42480
497,-1.41860
498,-1.41240
499,-1.40620
500,-1.40000
501,-1.39610
502,-1.39220
503,-1.38830
504,-1.38440
505,-1.38050
506,-1.37660
507,-1.37270
508,-1.36880
509,-1.36490
510,-1.36100
511,-1.35710
512,-1.35320
513,-1.34930
514,-1.34540
515,-1.34150
516,-1.33760
517,-1.33370
518,-1.32980
519,-1.32590
520,-1.32200
521,-1.31810
522,-1.31420
523,-1.31030
524,-1.30640
525,-1.30250
526,-1.29860
527,-1.29470
528,-1.29080
529,-1.28690
530,-1.28300
531,-1.27910
532,-1.27520
533,-1.27130
534,-1.26740
535,-1.26350
536,-1.25960
537,-1.25570
538,-1.25180
539,-1.24790
540,-1.24400
541,-1.24010
542,-1.23620
543,-1.23230
544,-1.22840
545,-1.22450
546,-1.22060
547,-1.21670
548,-1.21280
549,-1.20890
550,-1.20500
551,-1.20110
552,-1.19720
553,-1.19330
554,-1.18940
555,-1.18550
556,-1.18160
557,-1.17770
558,-1.17380
559,-1.16990
560,-1.16600
561,-1.16210
562,-1.15820
563,-1.15430
564,-1.15040
565,-1.14650
566,-1.14260
567,-1.13870
568,-1.13480
569,-1.13090
570,-1.12700
571,-1.12310
572,-1.11920
573,-1.11530
574,-1.11140
575,-1.10750
576,-1.10360
577,-1.09970
578,-1.09580
579,-1.09190
580,-1.08800
581,-1.08410
582,-1.08020
583,-1.07630
584,-1.07240
585,-1.06850
586,-1.06460
587,-1.06070
588,-1.05680
589,-1.05290
590,-1.04900
591,-1.04510
592,-1.04120
593,-1.03730
594,-1.03340
595,-1.02950
596,-1.02560
597,-1.02170
598,-1.01780
599,-1.01390
600,-1.01000
601,-1.00460
602,-0.99920
603,-0.99380
604,-0.98840
605,-0.98300
606,-0.97760
607,-0.97220
608,-0.96680
609,-0.96140
610,-0.95600
611,-0.95060
612,-0.94520
613,-0.93980
614,-0.93440
615,-0.92900
616,-0.92360
617,-0.91820
618,-0.91280
619,-0.90740
620,-0.90200
621,-0.89660
622,-0.89120
623,-0.88580
624,-0.88040
625,-0.87500
626,-0.86960
627,-0.86420
628,-0.85880
629,-0.85340
630,-0.84800
631,-0.84260
632,-0.83720
633,-0.83180
634,-0.82640
635,-0.82100
636,-0.81560
637,-0.81020
638,-0.80480
639,-0.79940
640,-0.79400
641,-0.78860
642,-0.78320
643,-0.77780
644,-0.77240
645,-0.76700
646,-0.76160
647,-0.75620
648,-0.75080
649,-0.74540
650,-0.74000
651,-0.73460
652,-0.72920
653,-0.72380
654,-0.71840
655,-0.71300
656,-0.70760
657,-0.70220
658,-0.69680
659,-0.69140
660,-0.68600
661,-0.68060
662,-0.67520
663,-0.66980
664,-0.66440
665,-0.65900
666,-0.65360
667,-0.64820
668,-0.64280
669,-0.63740
670,-0.63200
671,-0.62660
672,-0.62120
673,-0.61580
674,-0.61040
675,-0.60500
676,-0.59960
677,-0.59420
678,-0.58880
679,-0.58340
680,-0.57800
681,-0.57260
682,-0.56720
683,-0.56180
684,-0.55640
685,-0.55100
686,-0.54560
687,-0.54020
688,-0.53480
689,-0.52940
690,-0.52400
691,-0.51860
692,-0.51320
693,-0.50780
694,-0.50240
695,-0.49700
696,-0.49160
697,-0.48620
698,-0.48080
699,-0.47540
700,-0.47000
701,-0.47160
702,-0.47320
703,-0.47480
704,-0.47640
705,-0.47800
706,-0.47960
707,-0.48120
708,-0.48280
709,-0.48440
710,-0.48600
711,-0.48760
712,-0.48920
713,-0.49080
714,-0.49240
715,-0.49400
716,-0.49560
717,-0.49720
718,-0.49880
719,-0.50040
720,-0.50200
721,-0.50360
722,-0.50520
723,-0.50680
724,-0.50840
725,-0.51000
726,-0.51160
727,-0.51320
728,-0.51480
729,-0.51640
730,-0.51800
731,-0.51960
732,-0.52120
733,-0.52280
734,-0.52440
735,-0.52600
736,-0.52760
737,-0.52920
738,-0.53080
739,-0.53240
740,-0.53400
741,-0.53560
742,-0.53720
743,-0.53880
744,-0.54040
745,-0.54200
746,-0.54360
747,-0.54520
748,-0.54680
749,-0.54840
750,-0.55000
751,-0.55160
752,-0.55320
753,-0.55480
754,-0.55640
755,-0.55800
756,-0.55960
757,-0.56120
758,-0.56280
759,-0.56440
760,-0.56600
761,-0.56760
762,-0.56920
763,-0.57080
764,-0.57240
765,-0.57400
766,-0.57560
767,-0.57720
768,-0.57880
769,-0.58040
770,-0.58200
771,-0.58360
772,-0.58520
773,-0.58680
774,-0.58840
775,-0.59000
776,-0.59160
777,-0.59320
778,-0.59480
779,-0.59640
780,-0.59800
781,-0.59960
782,-0.60120
783,-0.60280
784,-0.60440
785,-0.60600
786,-0.60760
787,-0.60920
788,-0.61080
789,-0.61240
790,-0.61400
791,-0.61560
792,-0.61720
793,-0.61880
794,-0.62040
795,-0.62200
796,-0.62360
797,-0.62520
798,-0.62680
799,-0.62840
800,-0.63000
801,-0.63380
802,-0.63760
803,-0.64140
804,-0.64520
805,-0.64900
806,-0.65280
807,-0.65660
808,-0.66040
809,-0.66420
810,-0.66800
811,-0.67180
812,-0.67560
813,-0.67940
814,-0.68320
815,-0.68700
816,-0.69080
817,-0.69460
818,-0.69840
819,-0.70220
820,-0.70600
821,-0.70980
822,-0.71360
823,-0.71740
824,-0.72120
825,-0.72500
826,-0.72880
827,-0.73260
828,-0.73640
829,-0.74020
830,-0.74400
831,-0.74780
832,-0.75160
833,-0.75540
834,-0.75920
835,-0.76300
836,-0.76680
837,-0.77060
838,-0.77440
839,-0.77820
840,-0.78200
841,-0.78580
842,-0.78960
843,-0.79340
844,-0.79720
845,-0.80100
846,-0.80480
847,-0.80860
848,-0.81240
849,-0.81620
850,-0.82000
